split,channel,frames,baselineCells,candidateCells,precision,recall,f1,precisionTol,recallTol,f1Tol,passesExact80,passesTolerant80
all,curb,1170,121281,99361,0.743953865198619,0.609493655230415,0.670044687774766,0.934722879198076,0.877680757909318,0.905304169836131,0,1
all,pole,1170,9129,8909,0.622853294421372,0.607843137254902,0.615256680341501,0.673925244135144,0.699857596669953,0.686646663047887,0,0
all,trafficSign,1170,4503,4625,0.972108108108108,0.998445480790584,0.98510078878177,0.97427027027027,0.999111703308905,0.986534631658226,1,1
all,road,1170,273497,273759,0.748680408680628,0.749397616792872,0.749038841054278,0.796087069283567,0.87745386603875,0.834792459393042,0,0
tuning,curb,59,6084,5017,0.751843731313534,0.619986850756082,0.679578416358887,0.95594977077935,0.895299145299145,0.924630940004155,0,1
tuning,pole,59,453,418,0.672248803827751,0.620309050772627,0.645235361653272,0.720095693779904,0.704194260485651,0.71205621164649,0,0
tuning,trafficSign,59,236,244,0.967213114754098,1,0.983333333333333,0.967213114754098,1,0.983333333333333,1,1
tuning,road,59,13258,14497,0.731530661516176,0.799894403379092,0.764186633039092,0.775953645581845,0.933549554985669,0.847487363910121,0,0
interleaved,curb,58,6049,4692,0.745098039215686,0.577946768060836,0.650963597430407,0.944799658994032,0.843941147297074,0.891526939367585,0,1
interleaved,pole,58,471,451,0.638580931263858,0.611464968152866,0.62472885032538,0.682926829268293,0.719745222929936,0.700852807619892,0,0
interleaved,trafficSign,58,238,244,0.967213114754098,0.991596638655462,0.979253112033195,0.967213114754098,0.995798319327731,0.981297589389101,1,1
interleaved,road,58,13722,13089,0.741538696615479,0.707331292814459,0.724031181231584,0.792879517151807,0.826410144293835,0.809297671414852,0,0
remaining,curb,1053,109148,89652,0.74345246062553,0.610657089456518,0.670543259557344,0.933007629500736,0.878568549125957,0.904970123856797,0,1
remaining,pole,1053,8205,8040,0.619402985074627,0.606946983546618,0.613111726685134,0.671019900497512,0.698476538695917,0.684472984495847,0,0
remaining,trafficSign,1053,4029,4137,0.972685520908871,0.998758997269794,0.985549840803331,0.975102731447909,0.999255398361876,0.987031333014146,1,1
remaining,road,1053,246517,246173,0.75007007267247,0.749023393924151,0.749546367898679,0.797443261446219,0.877278240445892,0.835457860267015,0,0
